"MAHALLİ İDARELERCE BELGELENDİRİLEN  KONAKLAMA TESİSLERİNDE TESİSLERE GELİŞ, GECELEME, ORTALAMA KALIŞ SÜRESİ VE DOLULUK ORANLARININ İLLERE VE İLÇELERE GÖRE DAĞILIMI (2022)",,,,,,,,,,,,,
İLLER,İLÇELER,TESİSE GELİŞ SAYISI,,,GECELEME,,,ORTALAMA KALIŞ SÜRESİ,,,DOLULUK ORANI(%),,
,,YABANCI,YERLİ,TOPLAM,YABANCI,YERLİ,TOPLAM,YABANCI,YERLİ,TOPLAM,YABANCI,YERLİ,TOPLAM
Adana,Ceyhan,82,16508,16590,166,19053,19219,2.024390243902439,1.154167676278168,1.1584689572031344,0.43094496365524404,49.46261682242991,49.89356178608515
,Çukurova,392,51137,51529,2981,102053,105034,7.604591836734694,1.9956782760036764,2.0383473383919735,1.656111111111111,56.69611111111111,58.352222222222224
,Karataş,657,14570,15227,857,18309,19166,1.30441400304414,1.2566231983527796,1.2586852301832272,0.847675568743818,18.10979228486647,18.957467853610286
,Kozan,74,6740,6814,148,13697,13845,2,2.0321958456973293,2.0318461990020547,0.2777777777777778,25.70758258258258,25.98536036036036
,Pozantı,411,10252,10663,432,14080,14512,1.051094890510949,1.3733905579399142,1.360967832692488,1.245674740484429,40.5997693194925,41.845444059976934
,Seyhan,7173,134296,141469,13965,220492,234457,1.946884148891677,1.6418359444808484,1.6573030133810234,3.20107275477926,50.54142025397699,53.74249300875625
,Yumurtalık,1518,8737,10255,13378,24505,37883,8.812911725955205,2.8047384685818932,3.6941004388103362,8.59382026080812,15.74163294147877,24.33545320228689
,Sarıçam,683,14947,15630,1066,75682,76748,1.560761346998536,5.063357195423831,4.910300703774792,1.0175639557082856,72.24322260404735,73.26078655975563
,Aladağ,0,1886,1886,0,2538,2538,0,1.3457051961823967,1.3457051961823967,0,11.494565217391305,11.494565217391305
,Tufanbeyli,0,3762,3762,0,14066,14066,0,3.738968633705476,3.738968633705476,0,40.984848484848484,40.984848484848484
,Toplam,10990,262835,273825,32993,504475,537468,3.0020928116469516,1.9193600547872238,1.9628156669405643,2.842582301601661,43.46411986180396,46.30670216340562
Adıyaman,Besni,26,2995,3021,33,3345,3378,1.2692307692307692,1.1168614357262103,1.118172790466733,0.2864583333333333,29.036458333333332,29.322916666666668
,Gölbaşı,9,320,329,9,320,329,1,1,1,0.40540540540540543,14.414414414414415,14.81981981981982
,Kahta,429,15855,16284,896,29023,29919,2.0885780885780885,1.8305266477451907,1.837324981577008,1.2321232123212322,39.91061606160616,41.14273927392739
,Merkez,570,43802,44372,874,67887,68761,1.5333333333333334,1.5498607369526505,1.5496484269359054,0.6238401142041399,48.45610278372591,49.07994289793005
,Gerger,0,1449,1449,0,8333,8333,0,5.750862663906142,5.750862663906142,0,42.86522633744856,42.86522633744856
,Sincik,0,977,977,0,7833,7833,0,8.017400204708292,8.017400204708292,0,45.329861111111114,45.329861111111114
,Toplam,1034,65398,66432,1812,116741,118553,1.7524177949709865,1.7850851708003304,1.7845767100192678,0.6882406563354604,44.34100577332118,45.02924642965664
Afyonkarahisar,Çay,41,3883,3924,55,7256,7311,1.3414634146341464,1.8686582539273757,1.8631498470948011,0.2896261190100053,38.20958399157451,38.49921011058452
,Dazkırı,5,3522,3527,32,4009,4041,6.4,1.1382737081203862,1.1457329174936206,0.3665521191294387,45.922107674684995,46.28865979381443
,Dinar,1,4465,4466,1,5333,5334,1,1.194400895856663,1.1943573667711598,0.006082725060827251,32.43917274939173,32.44525547445255
,Emirdağ,47,18514,18561,51,18780,18831,1.0851063829787233,1.014367505671384,1.0145466300307096,0.1574074074074074,57.96296296296296,58.120370370370374
,İhsaniye,177,91958,92135,530,184633,185163,2.994350282485876,2.0077970377781162,2.009692299343355,0.03936598481809944,13.713697877207837,13.753063862025938
,Merkez,3413,117795,121208,5842,179579,185421,1.711690594784647,1.5245044356721422,1.5297752623589203,1.1911752711850583,36.61589593018514,37.8070712013702
,Sandıklı,129,26479,26608,225,43307,43532,1.744186046511628,1.635522489519997,1.636049308478653,0.18046198267564967,34.73452037215271,34.91498235482836
